"city_no","year","order","police_size","pop","prop_black","prop_police_blk","pcnt","south","region"
1,1960,0,5.74574474335233,8.87311673003567,0.0136007493565761,0.0286942964763713,4,0,5
1,1970,0,6.044092493002,6.98453920500926,0.00720157746165215,0.0706029906645869,4,0,5
1,1980,0,6.0965080374325,7.18208213134232,0.00557745173787973,0.112851624458386,4,0,5
1,1990,0,6.14951220792365,7.65543559485398,0.00490874351678411,0.143565433983883,4,0,5
1,1999,0,6.38992195742409,7.95505997590824,0.00176558171338444,0.128736802321737,4,0,5
2,1960,1,4.59503059543838,0.000349573616221327,0.0889446289644627,0.0234611428951099,1,1,1
2,1970,1,4.63222177744495,0.000571846199925012,0.137180447574706,0.0383235282451077,1,1,1
2,1980,1,4.6230317475119,0.00056886956529695,0.180284212301375,0.0821550383729473,1,1,1
2,1990,1,4.66285809347433,0.000219592840928777,0.192944329622945,0.137747559831326,1,1,1
2,1999,1,4.90714658015308,0.000879697970352978,0.158454428078201,0.185947413820396,1,1,1
3,1960,0,4.4788691545651,0.469376102225644,0.358966194804489,0.0365428414086725,3,0,2
3,1970,0,4.3953635190622,0.750057771600946,0.328481433510568,0.0868657530636147,3,0,2
3,1980,0,4.63689324488318,0.831459431236122,0.505815509272461,0.143830391602105,3,0,2
3,1990,0,4.71707650790596,0.905943349891785,0.547456225495531,0.18051259521797,3,0,2
3,1999,0,5.00849914280798,1.59755392500568,0.569366955875802,0.174091209873442,3,0,2
4,1960,1,5.50946155687618,0.604323891642285,0.225148749699311,0.187387791043371,3,0,5
4,1970,1,5.68869304907647,0.240118009572802,0.314324429600041,0.191319434278658,3,0,5
4,1980,1,5.86519166512376,0.720331762225821,0.348992650736224,0.341132218975473,3,0,5
4,1990,1,5.77308928578559,0.622877044135686,0.412655627067549,0.465985340299554,3,0,5
4,1999,1,6.05736177948202,0.626284051469087,0.368809159007732,0.63423341565048,3,0,5
5,1960,0,5.09455813978059,5.86458110395128,0.454095168528121,0.0123432451303452,4,1,3
5,1970,0,5.21564702304073,4.75600255218848,0.482732852405707,0.0374073974051724,4,1,3
5,1980,0,5.26147848427877,5.23095125878058,0.667630379195471,0.0430139744843745,4,1,3
5,1990,0,5.33880462390442,5.98683246445504,0.686825756054639,0.0457094675340997,4,1,3
5,1999,0,5.57036962489433,6.1595932720496,0.739407668768741,0.046331828691113,4,1,3
6,1960,0,5.73347191526689,0.261710341884912,0.0742356177264474,0.0333510699400869,2,0,5
6,1970,0,5.98732178943806,0.447909186545399,0.0660497020185758,0.0804752469724367,2,0,5
6,1980,0,6.02593254629585,0.627234899945928,0.0705038348232345,0.133227991966173,2,0,5
6,1990,0,6.13936118432653,0.471278966019012,0.0831579686567108,0.16428648138094,2,0,5
6,1999,0,6.27060582375188,1.08143429828853,0.0981713934515617,0.148068275801686,2,0,5
7,1960,0,4.58481399310017,7.57719836213562,0.291883107471814,0.0134535463397718,4,0,4
7,1970,0,4.52474996022625,5.87908773670865,0.272364276296917,0.0388581020927845,4,0,4
7,1980,0,4.72135647436659,6.53914180426767,0.451629442375712,0.0461592080744462,4,0,4
7,1990,0,4.82923755942088,6.66720367595347,0.444658274415894,0.0556992402545387,4,0,4
7,1999,0,5.10281929995845,6.49487350277539,0.497313845391546,0.0541185357387806,4,0,4
8,1960,0,5.11069529616879,2.17080659504818,0.336537443004584,0.00656388033951123,4,1,5
8,1970,0,5.21782491992592,2.22839819415302,0.292929046453659,0.0221240355820945,4,1,5
8,1980,0,5.26705662671858,2.48694826314316,0.478332650751119,0.0155624988667815,4,1,5
8,1990,0,5.35433916440795,2.9419928355863,0.519122185109392,0.0138156603716379,4,1,5
8,1999,0,5.57464758721689,3.56227261764984,0.534046541162192,0.0105624131075353,4,1,5
9,1960,0,4.80211533251334,1.35326490498555,0.170262262192261,0.00621377849396279,3,0,5
9,1970,0,4.84760398503848,1.69696083649561,0.175116645277738,0.0213917754201511,3,0,5
